dataset,method,top1_accuracy,top5_accuracy,ece,seed
gaussian_noise,no_adapt,56.755997,78.944,0.075026,42
shot_noise,no_adapt,56.785999,79.276001,0.045869,42
impulse_noise,no_adapt,57.493999,79.953995,0.065666,42
defocus_blur,no_adapt,46.885998,68.75,0.06495,42
glass_blur,no_adapt,35.585999,57.807999,0.061546,42
motion_blur,no_adapt,53.113998,75.731995,0.026079,42
zoom_blur,no_adapt,44.809998,68.063995,0.049554,42
snow,no_adapt,62.23,83.748001,0.047103,42
frost,no_adapt,62.545998,82.984001,0.197394,42
fog,no_adapt,65.729996,83.787994,0.492249,42
brightness,no_adapt,77.655998,94.565994,0.086284,42
contrast,no_adapt,32.625999,59.231998,0.19304,42
elastic_transform,no_adapt,46.028,69.273994,0.060144,42
pixelate,no_adapt,66.953995,87.405998,0.049519,42
jpeg_compression,no_adapt,67.599998,88.363998,0.061835,42
ImageNet-C_Overall,no_adapt,55.520131466666655,77.19266420000001,0.10508386666666668,42
gaussian_noise,no_adapt,56.755997,78.944,0.075026,2020
shot_noise,no_adapt,56.785999,79.276001,0.045869,2020
impulse_noise,no_adapt,57.493999,79.953995,0.065666,2020
defocus_blur,no_adapt,46.885998,68.75,0.06495,2020
glass_blur,no_adapt,35.585999,57.807999,0.061546,2020
motion_blur,no_adapt,53.113998,75.731995,0.026079,2020
zoom_blur,no_adapt,44.809998,68.063995,0.049554,2020
snow,no_adapt,62.23,83.748001,0.047103,2020
frost,no_adapt,62.545998,82.984001,0.197394,2020
fog,no_adapt,65.729996,83.787994,0.492249,2020
brightness,no_adapt,77.655998,94.565994,0.086284,2020
contrast,no_adapt,32.625999,59.231998,0.19304,2020
elastic_transform,no_adapt,46.028,69.273994,0.060144,2020
pixelate,no_adapt,66.953995,87.405998,0.049519,2020
jpeg_compression,no_adapt,67.599998,88.363998,0.061835,2020
ImageNet-C_Overall,no_adapt,55.520131466666655,77.19266420000001,0.10508386666666668,2020
gaussian_noise,no_adapt,56.755997,78.944,0.075026,2025
shot_noise,no_adapt,56.785999,79.276001,0.045869,2025
impulse_noise,no_adapt,57.493999,79.953995,0.065666,2025
defocus_blur,no_adapt,46.885998,68.75,0.06495,2025
glass_blur,no_adapt,35.585999,57.807999,0.061546,2025
motion_blur,no_adapt,53.113998,75.731995,0.026079,2025
zoom_blur,no_adapt,44.809998,68.063995,0.049554,2025
snow,no_adapt,62.23,83.748001,0.047103,2025
frost,no_adapt,62.545998,82.984001,0.197394,2025
fog,no_adapt,65.729996,83.787994,0.492249,2025
brightness,no_adapt,77.655998,94.565994,0.086284,2025
contrast,no_adapt,32.625999,59.231998,0.19304,2025
elastic_transform,no_adapt,46.028,69.273994,0.060144,2025
pixelate,no_adapt,66.953995,87.405998,0.049519,2025
jpeg_compression,no_adapt,67.599998,88.363998,0.061835,2025
ImageNet-C_Overall,no_adapt,55.520131466666655,77.19266420000001,0.10508386666666668,2025
gaussian_noise,no_adapt,56.755997,78.944,0.075026,1234
shot_noise,no_adapt,56.785999,79.276001,0.045869,1234
impulse_noise,no_adapt,57.493999,79.953995,0.065666,1234
defocus_blur,no_adapt,46.885998,68.75,0.06495,1234
glass_blur,no_adapt,35.585999,57.807999,0.061546,1234
motion_blur,no_adapt,53.113998,75.731995,0.026079,1234
zoom_blur,no_adapt,44.809998,68.063995,0.049554,1234
snow,no_adapt,62.23,83.748001,0.047103,1234
frost,no_adapt,62.545998,82.984001,0.197394,1234
fog,no_adapt,65.729996,83.787994,0.492249,1234
brightness,no_adapt,77.655998,94.565994,0.086284,1234
contrast,no_adapt,32.625999,59.231998,0.19304,1234
elastic_transform,no_adapt,46.028,69.273994,0.060144,1234
pixelate,no_adapt,66.953995,87.405998,0.049519,1234
jpeg_compression,no_adapt,67.599998,88.363998,0.061835,1234
ImageNet-C_Overall,no_adapt,55.520131466666655,77.19266420000001,0.10508386666666668,1234
gaussian_noise,no_adapt,56.755997,78.944,0.075026,888
shot_noise,no_adapt,56.785999,79.276001,0.045869,888
impulse_noise,no_adapt,57.493999,79.953995,0.065666,888
defocus_blur,no_adapt,46.885998,68.75,0.06495,888
glass_blur,no_adapt,35.585999,57.807999,0.061546,888
motion_blur,no_adapt,53.113998,75.731995,0.026079,888
zoom_blur,no_adapt,44.809998,68.063995,0.049554,888
snow,no_adapt,62.23,83.748001,0.047103,888
frost,no_adapt,62.545998,82.984001,0.197394,888
fog,no_adapt,65.729996,83.787994,0.492249,888
brightness,no_adapt,77.655998,94.565994,0.086284,888
contrast,no_adapt,32.625999,59.231998,0.19304,888
elastic_transform,no_adapt,46.028,69.273994,0.060144,888
pixelate,no_adapt,66.953995,87.405998,0.049519,888
jpeg_compression,no_adapt,67.599998,88.363998,0.061835,888
ImageNet-C_Overall,no_adapt,55.520131466666655,77.19266420000001,0.10508386666666668,888
